amount0,amount1,amountUSD,id,sqrtPriceX96,tick,timestamp,timestamp_1,liquidity,token0Price,token1Price,sqrtPrice,open,close,datetime
-157606.4892,51.8,157853.753,0xef845bd4fd15a99d630803cc67bfc68f16862490642d031ae800184c43c51acc#170439,1.43428E+33,196086,1629314620,18-08-2021 19:23,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 00:53
-23307.85017,7.663297852,23343.139,0x0c1fc7ede298bd71b4202becb13a944bc2bf9b3272ee9d5bce94bd124d1fd844#170441,1.43446E+33,196089,1629314622,18-08-2021 19:23,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 00:53
-108129.3277,35.55522857,108296.7849,0x3eb01070205466ee70643acc1270e2ffe776d8df3b660faf0a46c8c98cc2b7d0#170442,1.43458E+33,196090,1629314636,18-08-2021 19:23,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 00:53
-243223.6168,80,243613.7155,0xf9e0e0964daf55c9762d1cc7a8fde1dde461b38a3641229e21621c7ec4464c3e#170444,1.43487E+33,196094,1629314829,18-08-2021 19:27,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 00:57
-165353.8861,54.40554685,165613.8338,0xe9d8412febfe666db39fa95daff7edf817cec6e825725fbe3b63052ba6ac60cd#170445,1.43506E+33,196097,1629314952,18-08-2021 19:29,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 00:59
-151924.907,50,152162.911,0x59e88d2d5b0b47abc2b62295b606c6f6012757b299b455f4f3ef1cf9db2d79ec#170446,1.43524E+33,196100,1629315100,18-08-2021 19:31,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:01
-151887.3057,50,152125.2497,0x44a1362a012919ca70d625c37dbf115dd061009c21ba5ded1cd319111035bfb2#170447,1.43542E+33,196102,1629315108,18-08-2021 19:31,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:01
-209324.2432,68.92803304,209657.083,0x7d19881cb0cd3c71c54e0e5d8eeea21542113556e992265cb35ed08d9c45330a#170448,1.43566E+33,196105,1629315255,18-08-2021 19:34,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:04
-14773.70523,4.867619928,14796.02169,0x086bfc701c14aab15f1183532967ec97cdb3a570aa588dfc1b5a67de3e982118#170450,1.43596E+33,196110,1629315572,18-08-2021 19:39,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:09
-242334.1285,79.82718245,242722.7306,0xb9ef01d652ff850dd84b3005d600ac4588a63501d7f01e479c72ce83c01cfb84#170449,1.43595E+33,196109,1629315572,18-08-2021 19:39,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:09
-4606.138953,1.517648255,4613.077625,0xdb88ca57a36d0c1dca207fe21983eaf00894420034f32c6a0d41de1bb494d819#170451,1.43597E+33,196110,1629315581,18-08-2021 19:39,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:09
-44688.44119,14.72470996,44756.49199,0x601362ef714210f5ba8b0ac0fc4ded404c22fdb5c89c3e30c4b51aa9ca0981a7#170452,1.43602E+33,196110,1629315598,18-08-2021 19:39,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:09
-166127.5221,54.74793838,166388.7475,0xb26b3724f16eb2e619e91abe10c3af647fe4b890d94aa23b9102ebe8a665f51f#170453,1.43622E+33,196113,1629315598,18-08-2021 19:39,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:09
-705.972366,0.232687446,707.0347153,0x11367d420089c571be66d3761001caa4a2dd3eb634a95c212d622955ad6c1279#170454,1.43622E+33,196113,1629315614,18-08-2021 19:40,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:10
